停車場型態,停車場代碼,停車場名稱,停車場地址,停車場電話,即時車位,一般大型車,一般小型車,身障者小型車,婦幼者小型車,綠能小型車,一般機車,身障者機車,收費時間,收費費率,經緯度,備註欄,latitude,longitude
路邊停車格收費路段,61,民族路-1前段(路邊停車格),  育樂街口-中山路口   ,,-1,0,16,0,0,0,0,0,,累進費率:停車費率小型車以計時收費，計費方式以第一小時為20元、第二小時起每小時30元之費率；大型車輛則加倍計收；其停車時數未滿一小時者，以一小時計算收費,22.994403，120.214376,,22.994403,120.214376
路邊停車格收費路段,61,民族路-1後段,  育樂街口-中山路口   ,,-1,0,0,0,0,0,0,0,,累進費率第一小時20元/時，第二小時起每小時30元/時(北門路迄中山路口兩側),22.994490，120.210991,,22.99449,120.210991
路邊停車格收費路段,62,民族路-2(路邊停車格),  中山路口-公園路口南側   ,,-1,0,7,0,0,0,0,0,,累進費率:停車費率小型車以計時收費，計費方式以第一小時為20元、第二小時起每小時30元之費率；大型車輛則加倍計收；其停車時數未滿一小時者，以一小時計算收費,22.994930，120.208023,,22.99493,120.208023
路邊停車格收費路段,63,民族路-3(路邊停車格),  中山路口-公園路口北側   ,,-1,0,16,1,0,0,0,0,,累進費率:停車費率小型車以計時收費，計費方式以第一小時為20元、第二小時起每小時30元之費率；大型車輛則加倍計收；其停車時數未滿一小時者，以一小時計算收費,22.994921，120.208061,,22.994921,120.208061
路邊停車格收費路段,64,民族路-4(路邊停車格),  公園路口-忠義路口兩側   ,,-1,0,3,0,0,0,0,0,,累進費率:停車費率小型車以計時收費，計費方式以第一小時為20元、第二小時起每小時30元之費率；大型車輛則加倍計收；其停車時數未滿一小時者，以一小時計算收費,22.995831，120.205498,,22.995831,120.205498
路邊停車格收費路段,65,民族路-5(路邊停車格),  忠義路口-永福路口兩側   ,,-1,0,0,0,0,0,0,0,,累進費率:停車費率小型車以計時收費，計費方式以第一小時為20元、第二小時起每小時30元之費率；大型車輛則加倍計收；其停車時數未滿一小時者，以一小時計算收費,22.996481，120.203598,,22.996481,120.203598
路邊停車格收費路段,66,民族路-6(路邊停車格),  永福路口-西門路口兩側   ,,-1,0,0,0,0,0,0,0,,目前已無汽車停車格位。累進費率:停車費率小型車以計時收費，計費方式以第一小時為20元、第二小時起每小時30元之費率；大型車輛則加倍計收；其停車時數未滿一小時者，以一小時計算收費,22.997150，120.201569,,22.99715,120.201569
路邊停車格收費路段,67,民族路-7(路邊停車格),  西門路口-海安路口兩側   ,,-1,0,0,0,0,0,0,0,,累進費率:停車費率小型車以計時收費，計費方式以第一小時為20元、第二小時起每小時30元之費率；大型車輛則加倍計收；其停車時數未滿一小時者，以一小時計算收費,22.997671，120.199501,,22.997671,120.199501
路邊停車格收費路段,68,民族路-8(路邊停車格),  海安路口-金華路口兩側   ,,-1,0,0,0,0,0,0,0,,累進費率:停車費率小型車以計時收費，計費方式以第一小時為20元、第二小時起每小時30元之費率；大型車輛則加倍計收；其停車時數未滿一小時者，以一小時計算收費,22.998900，120.195801,,22.9989,120.195801
路邊停車格收費路段,69,民族路-9(路邊停車格),  金華路口-臨安路口兩側   ,,-1,0,10,0,0,0,0,0,,累進費率:停車費率小型車以計時收費，計費方式以第一小時為20元、第二小時起每小時30元之費率；大型車輛則加倍計收；其停車時數未滿一小時者，以一小時計算收費,22.999880，120.193024,,22.99988,120.193024
路邊停車格收費路段,71,民權路-1(路邊停車格),  東門圓環-青年路口南側   ,,-1,0,5,0,0,0,0,0,,20元/時 ,22.989700，120.210297,,22.9897,120.210297
路邊停車格收費路段,72,民權路-2(路邊停車格),  東門圓環-青年路口北側   ,,-1,0,6,0,0,0,0,0,,20元/時 ,22.989981，120.209907,,22.989981,120.209907
路邊停車格收費路段,73,民權路-3(路邊停車格),  青年路口-中山路口兩側   ,,-1,0,17,0,0,0,0,0,,20元/時 ,22.992344，120.207579,,22.992344,120.207579
路邊停車格收費路段,74,民權路-4(路邊停車格),  中山路口-公園路口兩側   ,,-1,0,11,1,0,0,0,0,,20元/時 ,22.994060，120.206177,,22.99406,120.206177
路邊停車格收費路段,75,民權路-5(路邊停車格),  公園路口-忠義路口兩側   ,,-1,0,13,0,0,0,0,0,,20元/時 ,22.994730，120.204132,,22.99473,120.204132
路邊停車格收費路段,76,民權路-6(路邊停車格),  忠義路口-永福路口兩側   ,,-1,0,10,0,0,0,0,0,,20元/時 ,22.995140，120.202759,,22.99514,120.202759
路邊停車格收費路段,77,民權路-7(路邊停車格),  永福路口-西門路口兩側   ,,-1,0,21,1,0,0,0,0,,20元/時 ,22.995810，120.200668,,22.99581,120.200668
